wkt_geom,years,predicted,
"MultiPolygon (((766452.32570015173405409 1676243.8683000192977488, 766514.28160015656612813 1676277.32690001814626157, 766609.79940021887887269 1676102.19740001740865409, 766517.33270023041404784 1676068.1383000232744962, 766469.91210014978423715 1676197.48510001972317696, 766452.32570015173405409 1676243.8683000192977488)))",2021,1,
"MultiPolygon (((770159.64886405179277062 1681111.6849344396032393, 770151.35062911827117205 1681132.07144170254468918, 770131.30708577577024698 1681136.04790546046569943, 770149.79359033808577806 1681164.60330079798586667, 770218.57360137114301324 1681167.16634109639562666, 770247.91116110875736922 1681196.40031518577598035, 770253.08915952767711133 1681092.16770695010200143, 770150.12112092413008213 1681042.71148024988360703, 770159.64886405179277062 1681111.6849344396032393)))",2021,3,
"MultiPolygon (((767663.01472919853404164 1677623.13398835086263716, 767851.21931670175399631 1677535.59974978328682482, 767852.05808584415353835 1677509.14928351622074842, 767656.48716406815219671 1677506.92366430605761707, 767663.01472919853404164 1677623.13398835086263716)))",2021,1,
"MultiPolygon (((763400.85479756211861968 1679877.97750436165370047, 763392.65753007982857525 1679851.53706827783025801, 763215.83910416322760284 1679885.9782889150083065, 763225.76276570791378617 1679911.88443727721460164, 763400.85479756211861968 1679877.97750436165370047)))",2021,1,
"MultiPolygon (((768246.62173715280368924 1682618.57099399482831359, 768284.38075907691381872 1682616.45650898385792971, 768289.53120190533809364 1682466.94325104169547558, 768234.89792033261619508 1682478.05389838083647192, 768246.62173715280368924 1682618.57099399482831359)))",2021,3,
"MultiPolygon (((768980.76733884820714593 1682029.57338271499611437, 768945.08480959373991936 1681869.18454502848908305, 769007.52208040514960885 1681787.08717886777594686, 768935.4148344558198005 1681774.85726093407720327, 768821.16238932637497783 1681922.23507349169813097, 768873.37493148341309279 1682038.08514177962206304, 768980.76733884820714593 1682029.57338271499611437)))",2021,3,
"MultiPolygon (((768861.96912283194251359 1682348.50330961542204022, 768997.68531818850897253 1682344.96645243302918971, 768993.10499111306853592 1682191.2446697992272675, 768856.60720234189648181 1682206.61899323668330908, 768861.96912283194251359 1682348.50330961542204022)))",2021,3,
"MultiPolygon (((756826.77600077958777547 1677958.43749997299164534, 756913.42710078076925129 1678047.73439997318200767, 756920.04170078062452376 1677996.80209997342899442, 756966.3438007808290422 1678025.90629997290670872, 756996.10940078145358711 1677968.35939997294917703, 756845.95830078108701855 1677886.99999997299164534, 756858.52600077982060611 1677923.38019997347146273, 756826.77600077958777547 1677958.43749997299164534)))",2021,2,
"MultiPolygon (((761758.55250020197127014 1684142.35210002493113279, 761545.05570016661658883 1684113.65660001756623387, 761565.14920020359568298 1684287.18250002176500857, 761705.86340010480489582 1684258.15290001989342272, 761706.07640015450306237 1684221.0509000183083117, 761746.11680017691105604 1684217.25690002436749637, 761758.55250020197127014 1684142.35210002493113279)))",2021,1,
"MultiPolygon (((771914.49897253897506744 1675641.3152204907964915, 771768.45951070915907621 1675627.89274599682539701, 771765.72749478707555681 1675816.21945226076059043, 771895.7317605217685923 1675825.23160595027729869, 771938.83478069840930402 1675828.59385711676441133, 771914.49897253897506744 1675641.3152204907964915)))",2021,3,
